ID,name,address,latitude,longitude,inspection_basic,inspection_hard
1,가송1교(확장부),충남 천안시 동남구 풍세면 풍서리 149-15,36.72125701,127.1374551,60,120
2,가송2교,충남 천안시 동남구 풍세면 가송리 산 41-3,36.72239272,127.1371996,80,140
3,갈매1교,충남 천안시 동남구 풍세면 삼태리 416,36.75429881,127.0989798,100,160
4,갈매2교,충남 아산시 배방읍 갈매리 232-1,36.75602257,127.0957679,120,180
5,갈매3교,충남 아산시 배방읍 갈매리 457,36.75719604,127.0932384,140,200
6,강경대교,충남 논산시 채운면 삼거리 49-13,36.16018975,127.0281268,160,220
7,고명육교,충북 제천시 고명동 727-6,37.12334235,128.2336576,180,240
8,고산교(상),충북 제천시 봉양읍 장평리 1051-1,37.13001914,128.1367566,60,120
9,고산교(하),충북 제천시 봉양읍 장평리 1051-1,37.12988264,128.1368981,80,140
10,과선교,충북 옥천군 이원면 용방리 1160,36.24900319,127.6540096,100,160
11,과선교,충남 서천군 마서면 송내리 274-3,36.03071021,126.7114672,120,180
12,교천교(상),충남 천안시 동남구 목천읍 교천리 264-45,36.78278528,127.1955163,140,200
13,구룡교,충남 부여군 구룡면 태양리 464-1,36.24898572,126.8153291,160,220
14,금곡천교,충남 아산시 배방읍 신흥리 404-115,36.75795784,127.0331955,180,240
15,남원천교,충남 당진시 순성면 중방리 177-4,36.85212874,126.7540193,60,120
16,내동교,세종특별자치시 소정면 소정리 603-20,36.71122675,127.1456523,80,140
17,내촌교,충북 진천군 이월면 내촌리 산 5-2,36.94619778,127.4470115,100,160
18,내촌교,충남 공주시 정안면 보물리 475-1,36.5988487,127.1191883,120,180
19,노루목교,충북 충주시 살미면 향산리 658,36.92868018,127.9295398,140,200
20,둔포램프2교,충남 아산시 둔포면 송용리 24-3,36.91971794,127.0348616,160,220
21,둔포천교,경기 평택시 팽성읍 석근리 65-2,36.93343835,127.0458768,180,240
22,마암교,충남 공주시 반포면 마암리 184-1,36.41702626,127.2208731,60,120
23,목주교,충남 천안시 동남구 목천읍 운전리 459-37,36.76871624,127.2320843,80,140
24,목천IC교,충남 공주시 우성면 목천리 63-35,36.50114094,127.1284116,100,160
25,목천육교,충남 공주시 우성면 목천리 63-25,36.50145845,127.1285517,120,180
26,병천교,충남 천안시 동남구 수신면 장산리 838-17,36.75512697,127.3007022,140,200
27,복현교(상),충북 청주시 청원구 오창읍 복현리 455-12,36.74907707,127.4502801,160,220
28,본성1교,충북 음성군 맹동면 마산리 646,36.93175527,127.5403277,180,240
29,봉화교(상),충남 천안시 동남구 수신면 장산리 838-17,36.75695761,127.2929261,60,120
30,봉황교,충북 충주시 중앙탑면 가흥리 986-13,37.07745438,127.8379757,80,140
31,북천안IC5교,충남 천안시 서북구 직산읍 판정리 293-1,36.90338317,127.1762975,100,160
32,사곡IC교,충북 진천군 이월면 중산리 643-33,36.89273318,127.4436341,120,180
33,산리교,충북 영동군 영동읍 오탄리 780-1,36.1986665,127.7458976,140,200
34,서논산IC1교,충남 논산시 광석면 갈산리 656,36.21953929,127.0621697,160,220
35,성북교(상),충남 서천군 비인면 성북리 111-15,36.1584295,126.6094035,180,240
36,성환철도육교,충남 천안시 서북구 성환읍 어룡리 390-8,36.92955325,127.1268145,60,120
37,수산3교,충북 제천시 덕산면 수산리 1061,36.91791952,128.1121976,80,140
38,시곡교(하),충북 제천시 송학면 시곡리 183-9,37.18281594,128.2921218,100,160
39,신리1교,충남 아산시 신동 177-5,36.78089889,127.037888,120,180
40,신리2교,충남 아산시 배방읍 구령리 1128,36.78654001,127.0374314,140,200
41,신봉3교,충남 아산시 영인면 신봉리 1188,36.90216454,126.9971725,160,220
42,신양1교,충북 충주시 주덕읍 신중리 436-2,36.97687673,127.7964183,180,240
43,양봉교,충북 충주시 수안보면 수회리 산 38-3,36.86326656,127.974085,60,120
44,양치교,충남 아산시 염치읍 백암리 150-8,36.80191234,127.0395119,80,140
45,어물교,충남 공주시 정안면 광정리 154-8,36.60577389,127.1237033,100,160
46,역탑1교,충남 예산군 오가면 역탑리 359-51,36.67774893,126.7903124,120,180
47,용수4교,세종특별자치시 금남면 국곡리 130-6,36.42553151,127.2778237,140,200
48,용정1교,충남 천안시 동남구 풍세면 용정리 456-2,36.74035554,127.1124257,160,220
49,용정2교,충남 천안시 동남구 풍세면 용정리 180-36,36.74536312,127.1054795,180,240
50,운교교,충남 아산시 둔포면 둔포리 342-32,36.91995392,127.0416307,60,120
51,운용램프A교,경기 평택시 팽성읍 석근리 65-2,36.93345177,127.0461125,80,140
52,유정2교,세종특별자치시 전의면 유천리 843-1,36.68817541,127.1600873,100,160
53,장존교,충남 아산시 장존동 574-71,36.74506625,127.0168644,120,180
54,조천1교,충북 청주시 흥덕구 오송읍 상봉리 472,36.63535831,127.2861141,140,200
55,조천2교,세종특별자치시 전동면 심중리 602-79,36.64625083,127.2716503,160,220
56,조천4교,세종특별자치시 전의면 동교리 258,36.67346304,127.2102633,180,240
57,조천5교,세종특별자치시 전의면 원성리 11-1,36.67605939,127.199789,60,120
58,주덕교,충북 충주시 주덕읍 신양리 208,36.97628666,127.7964009,80,140
59,중산대교(상),충북 진천군 이월면 중산리 648-149,36.90697342,127.4512064,100,160
60,중산대교(하),충북 진천군 이월면 중산리 648-149,36.90694671,127.4511221,120,180
61,차령교,충남 천안시 동남구 광덕면 원덕리 497-1,36.65873774,127.1284408,140,200
62,채산과선교,충남 논산시 강경읍 채산리 426-6,36.15168495,127.0126777,160,220
63,청룡교,충북 괴산군 청안면 청용리 687,36.79118817,127.6277506,180,240
64,평천교,충남 태안군 태안읍 평천리 1441,36.75803107,126.3367547,60,120
65,행정IC육교,세종특별자치시 전의면 유천리 322,36.68407824,127.1709204,80,140
66,가인1교,경북 성주군 금수강산면 영천리 1724-1,35.90827971,128.066048,100,160
67,가인2교,경북 성주군 금수강산면 영천리 1724-1,35.90841571,128.0689965,120,180
68,갈천1교,경북 봉화군 명호면 도천리 1378,36.86124311,128.8893381,140,200
69,갈천2교,경북 봉화군 명호면 도천리 1378,36.8664805,128.8918527,160,220
70,갈천3교,경북 봉화군 명호면 도천리 산 345-4,36.86983601,128.9033117,180,240
71,갈평2교,경북 포항시 남구 오천읍 갈평리 390-11,35.91103889,129.4022892,60,120
72,고현교,경북 청송군 진보면 시량리 산 89-2,36.52946388,129.1014205,80,140
73,관창1교,경북 봉화군 명호면 북곡리 1456-1,36.80172828,128.8867262,100,160
74,관창2교,경북 봉화군 명호면 북곡리 산 238,36.81503221,128.885949,120,180
75,구영육교,울산 울주군 범서읍 굴화리 488-2,35.56050615,129.2481938,140,200
76,군위IC교,대구 군위군 군위읍 금구리 979-1,36.20189123,128.563919,160,220
77,귀산1교,경남 창원시 성산구 귀산동 256-1,35.16940815,128.6132493,180,240
78,남호교,경북 영덕군 남정면 남호리 285-30,36.33260702,129.3782563,60,120
79,노곡교(하),경북 경주시 내남면 노곡리 1403-1,35.72792704,129.2037057,80,140
80,대석교,경남 양산시 상북면 대석리 1284,35.39807946,129.0552597,100,160
81,대천교,울산 울주군 언양읍 구수리 967-13,35.54447137,129.16025,120,180
82,동림교,경북 예천군 풍양면 공덕리 902-15,36.50685726,128.3036097,140,200
83,두곡교,경남 밀양시 청도면 두곡리 1277,35.55241534,128.6270387,160,220
84,무학교,경북 성주군 금수강산면 무학리 1487-3,35.92707891,128.1029312,180,240
85,박리교,경북 김천시 조마면 신왕리 1257-1,36.01574182,128.1334052,60,120
86,범서IC1교,울산 울주군 범서읍 천상리 1041-47,35.5686722,129.2337763,80,140
87,북곡교,경북 봉화군 명호면 북곡리 1407,36.80536334,128.8856138,100,160
88,산양2가도교,경북 문경시 산양면 불암리 301-3,36.61039738,128.2568302,120,180
89,상리1교,경북 안동시 풍산읍 상리리 524-2,36.58677062,128.5841933,140,200
90,상리교(상),경북 안동시 풍산읍 상리리 500-1,36.59250169,128.5929479,160,220
91,서지교,경북 청도군 운문면 서지리 산 105-1,35.75194436,128.937649,180,240
92,섬촌교,경북 영양군 일월면 섬촌리 754,36.71699049,129.1415859,60,120
93,신안교,경북 영덕군 지품면 신안리 511,36.44922422,129.2800027,80,140
94,안강대교,경북 경주시 안강읍 강교리 산 60,35.98528275,129.1220577,100,160
95,어신교,경북 예천군 지보면 송평리 728-1,36.58013976,128.414374,120,180
96,옥산1교,경북 경주시 안강읍 옥산리 1955-142,35.99225683,129.1738676,140,200
97,옥천2교,경북 봉화군 법전면 소천리 1045,36.91455691,128.9380159,160,220
98,왕태교,경북 문경시 영순면 왕태리 1541,36.58584842,128.2732927,180,240
99,우수교,경남 진주시 명석면 우수리 123-1,35.21521208,128.034965,60,120
100,우천교,경남 창녕군 고암면 우천리 1087-1,35.57203912,128.5096099,80,140
101,울진대교,경북 울진군 근남면 수산리 200-3,36.97811105,129.4029134,100,160
102,유천교,경북 청도군 청도읍 유호리 700,35.56931042,128.7704023,120,180
103,은적1교,경북 김천시 증산면 유성리 741,35.90611464,128.0591677,140,200
104,이창교,경남 창원시 마산합포구 진전면 율티리 402,35.10516441,128.4479262,160,220
105,이천교(30),경북 성주군 벽진면 매수리 1431-20,35.94538327,128.215696,180,240
106,임기교,경북 봉화군 소천면 임기리 1504,36.89267267,129.0026547,60,120
107,자호천교,경북 영천시 임고면 양항리 757-1,36.00529922,128.9762907,80,140
108,제2수서교,대구 군위군 의흥면 수서리 663-1,36.17735871,128.6882806,100,160
109,제2신원교,경북 경주시 산내면 신원리 253-5,35.76048906,129.0088934,120,180
110,중대교,경남 창녕군 고암면 중대리 503-1,35.57946398,128.508249,140,200
111,중리교,경북 성주군 금수강산면 영천리 1712-4,35.92087037,128.0880432,160,220
112,지경교,경남 진주시 명석면 외율리 1058-1,35.28118931,127.9933025,180,240
113,지촌1교,경북 청도군 운문면 공암리 155-1,35.76791563,128.9654568,60,120
114,지촌2교,경북 청도군 운문면 지촌리 1581-1,35.76945421,128.9691765,80,140
115,진남3교(상1),경북 문경시 마성면 신현리 631-1,36.66413079,128.1231394,100,160
116,진남3교(하),경북 문경시 마성면 신현리 183-5,36.66702392,128.125933,120,180
117,진보교,경북 청송군 진보면 후평리 1,36.53745544,129.0193222,140,200
118,진산교(상),경남 거창군 마리면 말흘리 1384-33,35.69962872,127.8544984,160,220
119,진전1교,경북 포항시 남구 오천읍 진전리 산 160,35.87109622,129.4012289,180,240
120,청도2교,경북 청도군 청도읍 구미리 417-1,35.63603951,128.7520089,60,120
121,하서교(하),경북 경주시 양남면 하서리 1465-122,35.67847169,129.4621387,80,140
122,하판2교,경북 칠곡군 가산면 송학리 884-54,36.10066661,128.5186384,100,160
123,학전IC2교,경북 포항시 북구 흥해읍 대련리 637-1,36.04597832,129.3142504,120,180
124,학천교,경북 포항시 북구 흥해읍 이인리 868-40,36.07811118,129.3428176,140,200
125,해학교(상),경북 포항시 북구 송라면 하송리 500-1,36.20865805,129.3513518,160,220
126,향정교,경남 합천군 봉산면 상현리 산 211-3,35.63522463,128.0233842,180,240
127,형산강교,경북 경주시 안강읍 사방리 448-1,35.93710727,129.2408716,60,120
128,화영교,경남 창녕군 장마면 산지리 712-24,35.45778003,128.4616503,80,140
