ID,name,address,,,,,,
1,가송1교(확장부),충남 천안시 동남구 풍세면 풍서리 149-15,,,,,,
2,가송2교,충남 천안시 동남구 풍세면 가송리 산 41-3,,,,,,
3,갈매1교,충남 천안시 동남구 풍세면 삼태리 416,,,,,,
4,갈매2교,충남 아산시 배방읍 갈매리 232-1,,,,,,
5,갈매3교,충남 아산시 배방읍 갈매리 457,,,,,,
6,강경대교,충남 논산시 채운면 삼거리 49-13,,,,,,
7,고명육교,충북 제천시 고명동 727-6,,,,,,
8,고산교(상),충북 제천시 봉양읍 장평리 1051-1,,,,,,
9,고산교(하),충북 제천시 봉양읍 장평리 1051-1,,,,,,
10,과선교,충북 옥천군 이원면 용방리 1160,,,,,,
11,과선교,충남 서천군 마서면 송내리 274-3,,,,,,
12,교천교(상),충남 천안시 동남구 목천읍 교천리 264-45,,,,,,
13,구룡교,충남 부여군 구룡면 태양리 464-1,,,,,,
14,금곡천교,충남 아산시 배방읍 신흥리 404-115,,,,,,
15,남원천교,충남 당진시 순성면 중방리 177-4,,,,,,
16,내동교,세종특별자치시 소정면 소정리 603-20,,,,,,
17,내촌교,충북 진천군 이월면 내촌리 산 5-2,,,,,,
18,내촌교,충남 공주시 정안면 보물리 475-1,,,,,,
19,노루목교,충북 충주시 살미면 향산리 658,,,,,,
20,둔포램프2교,충남 아산시 둔포면 송용리 24-3,,,,,,
21,둔포천교,경기 평택시 팽성읍 석근리 65-2,,,,,,
22,마암교,충남 공주시 반포면 마암리 184-1,,,,,,
23,목주교,충남 천안시 동남구 목천읍 운전리 459-37,,,,,,
24,목천IC교,충남 공주시 우성면 목천리 63-35,,,,,,
25,목천육교,충남 공주시 우성면 목천리 63-25,,,,,,
26,병천교,충남 천안시 동남구 수신면 장산리 838-17,,,,,,
27,복현교(상),충북 청주시 청원구 오창읍 복현리 455-12,,,,,,
28,본성1교,충북 음성군 맹동면 마산리 646,,,,,,
29,봉화교(상),충남 천안시 동남구 수신면 장산리 838-17,,,,,,
30,봉황교,충북 충주시 중앙탑면 가흥리 986-13,,,,,,
31,북천안IC5교,충남 천안시 서북구 직산읍 판정리 293-1,,,,,,
32,사곡IC교,충북 진천군 이월면 중산리 643-33,,,,,,
33,산리교,충북 영동군 영동읍 오탄리 780-1,,,,,,
34,서논산IC1교,충남 논산시 광석면 갈산리 656,,,,,,
35,성북교(상),충남 서천군 비인면 성북리 111-15,,,,,,
36,성환철도육교,충남 천안시 서북구 성환읍 어룡리 390-8,,,,,,
37,수산3교,충북 제천시 덕산면 수산리 1061,,,,,,
38,시곡교(하),충북 제천시 송학면 시곡리 183-9,,,,,,
39,신리1교,충남 아산시 신동 177-5,,,,,,
40,신리2교,충남 아산시 배방읍 구령리 1128,,,,,,
41,신봉3교,충남 아산시 영인면 신봉리 1188,,,,,,
42,신양1교,충북 충주시 주덕읍 신중리 436-2,,,,,,
43,양봉교,충북 충주시 수안보면 수회리 산 38-3,,,,,,
44,양치교,충남 아산시 염치읍 백암리 150-8,,,,,,
45,어물교,충남 공주시 정안면 광정리 154-8,,,,,,
46,역탑1교,충남 예산군 오가면 역탑리 359-51,,,,,,
47,용수4교,세종특별자치시 금남면 국곡리 130-6,,,,,,
48,용정1교,충남 천안시 동남구 풍세면 용정리 456-2,,,,,,
49,용정2교,충남 천안시 동남구 풍세면 용정리 180-36,,,,,,
50,운교교,충남 아산시 둔포면 둔포리 342-32,,,,,,
51,운용램프A교,경기 평택시 팽성읍 석근리 65-2,,,,,,
52,유정2교,세종특별자치시 전의면 유천리 843-1,,,,,,
53,장존교,충남 아산시 장존동 574-71,,,,,,
54,조천1교,충북 청주시 흥덕구 오송읍 상봉리 472,,,,,,
55,조천2교,세종특별자치시 전동면 심중리 602-79,,,,,,
56,조천4교,세종특별자치시 전의면 동교리 258,,,,,,
57,조천5교,세종특별자치시 전의면 원성리 11-1,,,,,,
58,주덕교,충북 충주시 주덕읍 신양리 208,,,,,,
59,중산대교(상),충북 진천군 이월면 중산리 648-149,,,,,,
60,중산대교(하),충북 진천군 이월면 중산리 648-149,,,,,,
61,차령교,충남 천안시 동남구 광덕면 원덕리 497-1,,,,,,
62,채산과선교,충남 논산시 강경읍 채산리 426-6,,,,,,
63,청룡교,충북 괴산군 청안면 청용리 687,,,,,,
64,평천교,충남 태안군 태안읍 평천리 1441,,,,,,
65,행정IC육교,세종특별자치시 전의면 유천리 322,,,,,,
66,가인1교,경북 성주군 금수강산면 영천리 1724-1,,,,,,
67,가인2교,경북 성주군 금수강산면 영천리 1724-1,,,,,,
68,갈천1교,경북 봉화군 명호면 도천리 1378,,,,,,
69,갈천2교,경북 봉화군 명호면 도천리 1378,,,,,,
70,갈천3교,경북 봉화군 명호면 도천리 산 345-4,,,,,,
71,갈평2교,경북 포항시 남구 오천읍 갈평리 390-11,,,,,,
72,고현교,경북 청송군 진보면 시량리 산 89-2,,,,,,
73,관창1교,경북 봉화군 명호면 북곡리 1456-1,,,,,,
74,관창2교,경북 봉화군 명호면 북곡리 산 238,,,,,,
75,구영육교,울산 울주군 범서읍 굴화리 488-2,,,,,,
76,군위IC교,대구 군위군 군위읍 금구리 979-1,,,,,,
77,귀산1교,경남 창원시 성산구 귀산동 256-1,,,,,,
78,남호교,경북 영덕군 남정면 남호리 285-30,,,,,,
79,노곡교(하),경북 경주시 내남면 노곡리 1403-1,,,,,,
80,대석교,경남 양산시 상북면 대석리 1284,,,,,,
81,대천교,울산 울주군 언양읍 구수리 967-13,,,,,,
82,동림교,경북 예천군 풍양면 공덕리 902-15,,,,,,
83,두곡교,경남 밀양시 청도면 두곡리 1277,,,,,,
84,무학교,경북 성주군 금수강산면 무학리 1487-3,,,,,,
85,박리교,경북 김천시 조마면 신왕리 1257-1,,,,,,
86,범서IC1교,울산 울주군 범서읍 천상리 1041-47,,,,,,
87,북곡교,경북 봉화군 명호면 북곡리 1407,,,,,,
88,산양2가도교,경북 문경시 산양면 불암리 301-3,,,,,,
89,상리1교,경북 안동시 풍산읍 상리리 524-2,,,,,,
90,상리교(상),경북 안동시 풍산읍 상리리 500-1,,,,,,
91,서지교,경북 청도군 운문면 서지리 산 105-1,,,,,,
92,섬촌교,경북 영양군 일월면 섬촌리 754,,,,,,
93,신안교,경북 영덕군 지품면 신안리 511,,,,,,
94,안강대교,경북 경주시 안강읍 강교리 산 60,,,,,,
95,어신교,경북 예천군 지보면 송평리 728-1,,,,,,
96,옥산1교,경북 경주시 안강읍 옥산리 1955-142,,,,,,
97,옥천2교,경북 봉화군 법전면 소천리 1045,,,,,,
98,왕태교,경북 문경시 영순면 왕태리 1541,,,,,,
99,우수교,경남 진주시 명석면 우수리 123-1,,,,,,
100,우천교,경남 창녕군 고암면 우천리 1087-1,,,,,,
101,울진대교,경북 울진군 근남면 수산리 200-3,,,,,,
102,유천교,경북 청도군 청도읍 유호리 700,,,,,,
103,은적1교,경북 김천시 증산면 유성리 741,,,,,,
104,이창교,경남 창원시 마산합포구 진전면 율티리 402,,,,,,
105,이천교(30),경북 성주군 벽진면 매수리 1431-20,,,,,,
106,임기교,경북 봉화군 소천면 임기리 1504,,,,,,
107,자호천교,경북 영천시 임고면 양항리 757-1,,,,,,
108,제2수서교,대구 군위군 의흥면 수서리 663-1,,,,,,
109,제2신원교,경북 경주시 산내면 신원리 253-5,,,,,,
110,중대교,경남 창녕군 고암면 중대리 503-1,,,,,,
111,중리교,경북 성주군 금수강산면 영천리 1712-4,,,,,,
112,지경교,경남 진주시 명석면 외율리 1058-1,,,,,,
113,지촌1교,경북 청도군 운문면 공암리 155-1,,,,,,
114,지촌2교,경북 청도군 운문면 지촌리 1581-1,,,,,,
115,진남3교(상1),경북 문경시 마성면 신현리 631-1,,,,,,
116,진남3교(하),경북 문경시 마성면 신현리 183-5,,,,,,
117,진보교,경북 청송군 진보면 후평리 1,,,,,,
118,진산교(상),경남 거창군 마리면 말흘리 1384-33,,,,,,
119,진전1교,경북 포항시 남구 오천읍 진전리 산 160,,,,,,
120,청도2교,경북 청도군 청도읍 구미리 417-1,,,,,,
121,하서교(하),경북 경주시 양남면 하서리 1465-122,,,,,,
122,하판2교,경북 칠곡군 가산면 송학리 884-54,,,,,,
123,학전IC2교,경북 포항시 북구 흥해읍 대련리 637-1,,,,,,
124,학천교,경북 포항시 북구 흥해읍 이인리 868-40,,,,,,
125,해학교(상),경북 포항시 북구 송라면 하송리 500-1,,,,,,
126,향정교,경남 합천군 봉산면 상현리 산 211-3,,,,,,
127,형산강교,경북 경주시 안강읍 사방리 448-1,,,,,,
128,화영교,경남 창녕군 장마면 산지리 712-24,,,,,,
